outfit "Impetus Lower Warning"
	category "Guns"
	cost 540000
	thumbnail "outfit/pug seeker"
	"mass" 34
	"outfit space" -34
	"weapon capacity" -34
	"gun ports" -1
	weapon
		sprite "projectile/warning"
		sound "seeker"
		"hit effect" "seeker impact"
		"die effect" "seeker impact"
		"inaccuracy" 2
		"velocity" 13
		"lifetime" 1000
		"reload" 10
		"firing energy" 25
		"firing heat" 20
		"acceleration" 1.3
		"drag" .1
		"turn" 4
		"homing" 5
		"tracking" .5
		"shield damage" 24
		"hull damage" 13
		"hit force" 2
		"missile strength" 40
	description "???"
